run_id,cycle_id,cycle_start_time,cycle_end_time,cycle_time_sec,avg_vfd1_temp,avg_vfd2_temp,avg_vfd3_temp,avg_vfd4_temp,avg_r01_load,min_r01_load,max_r01_load,avg_r02_load,min_r02_load,max_r02_load,avg_r03_load,min_r03_load,max_r03_load,avg_r04_load,min_r04_load,max_r04_load,stopper1_active_count,stopper2_active_count,stopper3_active_count,stopper4_active_count,stopper5_active_count,defect_label,defect_flag
4,3,"2023-12-11 17:00:24.942","2023-12-11 17:05:19.539",294,81.63585457289668,7.719714964210109e30,-2.3586697835956227e33,3.254021011401425e34,442.6128266033254,75,663,1310.578554462165,1239,1365,1828.9793009840516,1305,10078,605.6861214794707,313,874,169,647,15,15,55,NoNose,1
4,4,"2023-12-11 17:05:19.637","2023-12-11 17:10:14.156",294,83.28265086723988,-1.1722740652696314e33,3.93754243067642e32,-5.057705363163849e34,442.26578411405296,111,643,1309.8530210454853,1252,1365,1807.4059742023082,1297,9158,606.5604209097081,356,867,169,647,15,15,56,NoNose,1
4,5,"2023-12-11 17:10:14.240","2023-12-11 17:15:11.954",297,84.52586682533104,3.5764193847546848e22,1.4308394469444102e34,-1.7864323539288115e33,439.68401611820013,-74,822,1309.6927468099395,1228,1365,1832.4116856950973,1287,9977,608.4257891202149,339,851,168,647,15,15,55,NoNose,1
4,6,"2023-12-11 17:15:12.049","2023-12-11 17:20:06.559",294,85.43440070932368,9.643549401900881e28,1.4707399864222682e34,1.9789550870502276e32,420.11065852002713,143,605,1306.5332654446706,1230,1390,1823.6401900882552,1318,9941,615.347589952478,362,928,169,647,15,15,56,NoNose,1
4,7,"2023-12-11 17:20:06.651","2023-12-11 17:25:01.258",294,86.20588573024429,-1.2147812681376893e30,-4.231770675471609e31,-3.868341601942733e29,427.7879199185613,-149,623,1307.487614523244,1226,1359,1813.0461486257211,1284,9995,614.480827960638,323,887,169,647,15,15,55,NoNose,1
4,8,"2023-12-11 17:25:01.343","2023-12-11 17:29:56.508",295,86.82430743359205,-6.777348560384672e32,-1.0098272805828531e35,-5.663608023690531e32,432.95188071840056,56,623,1309.7570315147407,1248,1360,1848.2084039308709,1319,10562,615.2961707895629,333,900,168,647,15,15,56,NoNose,1
4,9,"2023-12-11 17:29:56.509","2023-12-11 17:34:51.055",294,87.31547447079474,-5.632846963012172e32,2.1606143026806924e34,-4.396165588008143e29,430.9915167967425,41,817,1309.7587376993554,1250,1359,1833.6165592127588,1295,9997,611.3579911774686,329,865,169,648,15,16,56,NoNose,1
4,10,"2023-12-11 17:34:51.137","2023-12-11 17:39:45.551",294,87.72796267535507,-1.446519522541876e34,-8.805568588125977e34,-4.028179218128096e34,426.4013582342954,85,578,1309.4193548387098,1248,1357,1840.8774193548388,1319,9974,610.9307300509338,364,888,169,648,15,15,56,NoNose,1
4,11,"2023-12-11 17:39:45.639","2023-12-11 17:46:04.849",379,87.8634755914331,-1.0975252169518056e31,9.836488308818254e33,-1.322532660185301e34,477.082805907173,113,742,1315.0163502109704,1241,1373,1719.8022151898733,1315,9824,556.8127637130801,221,891,168,647,15,15,56,NoNose,1
5,0,"2023-12-11 17:50:18.248","2023-12-11 17:50:24.855",6,81.63009644000002,78.139888932985,77.9750648525807,81.59933608298499,455.5970149253731,387,581,1311.1641791044776,1277,1350,1370.2537313432836,1345,1393,522.1492537313433,392,713,0,0,0,0,0,NoNose,1
